id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description	has_time_series_data
tag:sennetconsortium.org,2025:	SNT879.KNDG.637	https://doi.org/10.35079/SNT879.KNDG.637	2024-04-22 18:33:37.205		SNT879.KNDG.637	Histology data from the heart of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT666.TBRQ.722	https://doi.org/10.35079/SNT666.TBRQ.722	2024-04-22 18:36:09.098		SNT666.TBRQ.722	Histology data from the lung (right) of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT364.PPVT.683	https://doi.org/10.35079/SNT364.PPVT.683	2024-12-04 14:53:59.170		SNT364.PPVT.683	Histology data from the kidney (left) of a 49.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT928.GVVF.966	https://doi.org/10.35079/SNT928.GVVF.966	2024-12-04 14:54:25.067		SNT928.GVVF.966	Histology data from the pancreas of a 49.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT357.RMGR.386	https://doi.org/10.35079/SNT357.RMGR.386	2024-12-04 14:51:33.852		SNT357.RMGR.386	Histology data from the kidney (left) of a 49.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT922.MBDC.543	https://doi.org/10.35079/SNT922.MBDC.543	2024-12-04 14:54:07.584		SNT922.MBDC.543	Histology data from the kidney (left) of a 49.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT887.PBGR.767	https://doi.org/10.35079/SNT887.PBGR.767	2024-12-04 15:54:25.456		SNT887.PBGR.767	Visium (no probes) data from the brain of a 60-year-old unknown male	
tag:sennetconsortium.org,2025:	SNT457.CVMW.748	https://doi.org/10.35079/SNT457.CVMW.748	2024-09-25 15:22:53.328		SNT457.CVMW.748	Histology data from the lung (right) of a 3.5-year-old white male	
tag:sennetconsortium.org,2025:	SNT726.HJCM.656	https://doi.org/10.35079/SNT726.HJCM.656	2024-12-04 15:54:16.984		SNT726.HJCM.656	Visium (no probes) data from the brain of a 53-year-old unknown female	
tag:sennetconsortium.org,2025:	SNT669.GRKB.946	https://doi.org/10.35079/SNT669.GRKB.946	2024-04-22 18:35:26.753		SNT669.GRKB.946	Histology data from the heart of a 43.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT539.DSCH.347	https://doi.org/10.35079/SNT539.DSCH.347	2024-06-12 14:58:47.731		SNT539.DSCH.347	Histology data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT488.QDLH.722	https://doi.org/10.35079/SNT488.QDLH.722	2024-07-01 15:05:34.695		SNT488.QDLH.722	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT886.DJTW.298	https://doi.org/10.35079/SNT886.DJTW.298	2024-07-01 15:07:31.698		SNT886.DJTW.298	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT832.KPXB.946	https://doi.org/10.35079/SNT832.KPXB.946	2024-07-01 15:08:10.724		SNT832.KPXB.946	LC-MS data from the lung (left) of a 55.0-year-old white male	
