id_namespace	local_id	project_id_namespace	project_local_id	persistent_id	creation_time	sample_prep_method	anatomy
tag:motrpac-data.org,2023:	90559016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90559016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90559016005	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0002369
tag:motrpac-data.org,2023:	90571016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90571016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90571016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90587016002	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0002369
tag:motrpac-data.org,2023:	90587016003	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0002369
tag:motrpac-data.org,2023:	90587016004	tag:motrpac-data.org,2023:	motrpac				UBERON:0002369
tag:motrpac-data.org,2023:	90217016902	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0001348
tag:motrpac-data.org,2023:	90217016903	tag:motrpac-data.org,2023:	motrpac			OBI:0001862	UBERON:0001348
tag:motrpac-data.org,2023:	90217016904	tag:motrpac-data.org,2023:	motrpac			OBI:0003089	UBERON:0001348
tag:motrpac-data.org,2023:	90217016905	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0001348
tag:motrpac-data.org,2023:	90217016906	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0001348
tag:motrpac-data.org,2023:	90217016907	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0001348
tag:motrpac-data.org,2023:	90217016908	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0001348
tag:motrpac-data.org,2023:	90217016909	tag:motrpac-data.org,2023:	motrpac			OBI:0002773	UBERON:0001348
tag:motrpac-data.org,2023:	90218016902	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0001348
tag:motrpac-data.org,2023:	90218016903	tag:motrpac-data.org,2023:	motrpac			OBI:0001862	UBERON:0001348
tag:motrpac-data.org,2023:	90218016904	tag:motrpac-data.org,2023:	motrpac			OBI:0003089	UBERON:0001348
tag:motrpac-data.org,2023:	90218016905	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0001348
tag:motrpac-data.org,2023:	90222016902	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0001348
tag:motrpac-data.org,2023:	90222016903	tag:motrpac-data.org,2023:	motrpac			OBI:0001862	UBERON:0001348
tag:motrpac-data.org,2023:	90222016904	tag:motrpac-data.org,2023:	motrpac			OBI:0003089	UBERON:0001348
tag:motrpac-data.org,2023:	90222016905	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0001348
tag:motrpac-data.org,2023:	90222016906	tag:motrpac-data.org,2023:	motrpac			OBI:0000366	UBERON:0001348
tag:motrpac-data.org,2023:	90223016902	tag:motrpac-data.org,2023:	motrpac			OBI:0003090	UBERON:0001348
tag:motrpac-data.org,2023:	90223016903	tag:motrpac-data.org,2023:	motrpac			OBI:0001862	UBERON:0001348
